YEAR,Bucket,STATE,AADR
2013,0,Hawaii,590.8
2013,0,California,630.1
2013,0,Connecticut,646.3
2013,0,New York,649.3
2013,0,Minnesota,651
2013,0,Colorado,655.4
2013,0,Florida,663.4
2013,0,Massachusetts,663.5
2013,0,Arizona,674.2
2013,0,New Jersey,676.4
2013,0,New Hampshire,679.1
2013,0,South Dakota,679.3
2013,0,Washington,679.3
2013,1,Rhode Island,709.6
2013,1,North Dakota,709.7
2013,1,Maryland,710.4
2013,1,Utah,710.4
2013,1,Vermont,710.6
2013,1,Nebraska,714.7
2013,1,Oregon,717.5
2013,1,Wisconsin,720.1
2013,1,Iowa,723.7
2013,1,Illinois,724
2013,1,Alaska,724.4
2013,1,Virginia,724.8
2013,1,Delaware,726.8
2013,1,Idaho,730.6
2013,1,Wyoming,731.7
2013,1,New Mexico,731.8
2013,1,Texas,751.6
2013,1,District of Columbia,752
2013,1,Maine,754.2
2013,1,Kansas,757.7
2013,1,Montana,761.3
2013,1,Pennsylvania,761.3
2013,1,Nevada,769.8
2013,1,North Carolina,777.6
2013,1,Michigan,782.3
2013,2,Georgia,806.2
2013,2,Missouri,807.7
2013,2,Ohio,811.2
2013,2,Indiana,832.2
2013,2,South Carolina,837.8
2013,2,Tennessee,881.1
2013,2,Arkansas,893.8
2013,2,Louisiana,897.7
2013,2,Kentucky,899.9
2013,3,Oklahoma,910.7
2013,3,West Virginia,923.8
2013,3,Alabama,925.2
2013,3,Mississippi,959.6
